Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;pixar|fun
Jumanji (1995);Adventure|Children|Fantasy;fantasy|magic board game|Robin Williams|game
Grumpier Old Men (1995);Comedy|Romance;moldy|old
Waiting to Exhale (1995);Comedy|Drama|Romance;NoTags
Father of the Bride Part II (1995);Comedy;pregnancy|remake
Heat (1995);Action|Crime|Thriller;NoTags
Sabrina (1995);Comedy|Romance;remake
Tom and Huck (1995);Adventure|Children;NoTags
Sudden Death (1995);Action;NoTags
GoldenEye (1995);Action|Adventure|Thriller;NoTags
American President, The (1995);Comedy|Drama|Romance;politics|president
Dracula: Dead and Loving It (1995);Comedy|Horror;NoTags
Balto (1995);Adventure|Animation|Children;NoTags
Nixon (1995);Drama;politics|president
Cutthroat Island (1995);Action|Adventure|Romance;NoTags
Casino (1995);Crime|Drama;Mafia
Sense and Sensibility (1995);Drama|Romance;Jane Austen
Four Rooms (1995);Comedy;NoTags
Ace Ventura: When Nature Calls (1995);Comedy;NoTags
Money Train (1995);Action|Comedy|Crime|Drama|Thriller;NoTags
Get Shorty (1995);Comedy|Crime|Thriller;Hollywood
Copycat (1995);Crime|Drama|Horror|Mystery|Thriller;serial killer
Assassins (1995);Action|Crime|Thriller;NoTags
Powder (1995);Drama|Sci-Fi;NoTags
Leaving Las Vegas (1995);Drama|Romance;alcoholism
Othello (1995);Drama;Shakespeare
Now and Then (1995);Children|Drama;NoTags
Persuasion (1995);Drama|Romance;In Netflix queue|Jane Austen
City of Lost Children, The (Cité des enfants perdus, La) (1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi;kidnapping
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Crime|Drama;NoTags
Dangerous Minds (1995);Drama;high school|teacher
Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller;time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending
Babe (1995);Children|Drama;Animal movie|pigs|villain nonexistent or not needed for good story
Dead Man Walking (1995);Crime|Drama;death penalty|Nun
It Takes Two (1995);Children|Comedy;twins
Clueless (1995);Comedy|Romance;chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen
Cry, the Beloved Country (1995);Drama;In Netflix queue|South Africa
Richard III (1995);Drama|War;Shakespeare
Dead Presidents (1995);Action|Crime|Drama;NoTags
Restoration (1995);Drama;England
Mortal Kombat (1995);Action|Adventure|Fantasy;NoTags
To Die For (1995);Comedy|Drama|Thriller;Journalism
How to Make an American Quilt (1995);Drama|Romance;wedding
Seven (a.k.a. Se7en) (1995);Mystery|Thriller;mystery|twist ending|serial killer
Pocahontas (1995);Animation|Children|Drama|Musical|Romance;NoTags
When Night Is Falling (1995);Drama|Romance;NoTags
Usual Suspects, The (1995);Crime|Mystery|Thriller;mindfuck|suspense|thriller|tricky|twist ending|heist
Mighty Aphrodite (1995);Comedy|Drama|Romance;adoption|prostitution
Lamerica (1994);Adventure|Drama;NoTags
Big Green, The (1995);Children|Comedy;NoTags
Georgia (1995);Drama;NoTags
Home for the Holidays (1995);Drama;NoTags
Postman, The (Postino, Il) (1994);Comedy|Drama|Romance;writing
Indian in the Cupboard, The (1995);Adventure|Children|Fantasy;NoTags
Eye for an Eye (1996);Drama|Thriller;NoTags
Mr. Holland's Opus (1995);Drama;music
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Comedy|Crime;NoTags
Two if by Sea (1996);Comedy|Romance;NoTags
Bio-Dome (1996);Comedy;NoTags
Lawnmower Man 2: Beyond Cyberspace (1996);Action|Sci-Fi|Thriller;NoTags
French Twist (Gazon maudit) (1995);Comedy|Romance;NoTags
Friday (1995);Comedy;NoTags
From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller;NoTags
Fair Game (1995);Action;NoTags
Kicking and Screaming (1995);Comedy|Drama;NoTags
Misérables, Les (1995);Drama|War;NoTags
Bed of Roses (1996);Drama|Romance;NoTags
Big Bully (1996);Comedy|Drama;NoTags
Screamers (1995);Action|Sci-Fi|Thriller;NoTags
Nico Icon (1995);Documentary;NoTags
Crossing Guard, The (1995);Action|Crime|Drama|Thriller;NoTags
Juror, The (1996);Drama|Thriller;NoTags
White Balloon, The (Badkonake sefid) (1995);Children|Drama;NoTags
Things to Do in Denver When You're Dead (1995);Crime|Drama|Romance;NoTags
Antonia's Line (Antonia) (1995);Comedy|Drama;NoTags
Once Upon a Time... When We Were Colored (1995);Drama|Romance;NoTags
Angels and Insects (1995);Drama|Romance;NoTags
White Squall (1996);Action|Adventure|Drama;NoTags
Dunston Checks In (1996);Children|Comedy;NoTags
Black Sheep (1996);Comedy;NoTags
Nick of Time (1995);Action|Thriller;NoTags
Mary Reilly (1996);Drama|Horror|Thriller;Jekyll and Hyde
Vampire in Brooklyn (1995);Comedy|Horror|Romance;NoTags
Beautiful Girls (1996);Comedy|Drama|Romance;NoTags
Broken Arrow (1996);Action|Adventure|Thriller;NoTags
In the Bleak Midwinter (1995);Comedy|Drama;theater
Hate (Haine, La) (1995);Crime|Drama;NoTags
Heidi Fleiss: Hollywood Madam (1995);Documentary;NoTags
City Hall (1996);Drama|Thriller;NoTags
Bottle Rocket (1996);Adventure|Comedy|Crime|Romance;crime|off-beat comedy|quirky
Mr. Wrong (1996);Comedy;NoTags
Unforgettable (1996);Mystery|Sci-Fi|Thriller;NoTags
Happy Gilmore (1996);Comedy;test tag|golf|Adam Sandler
Bridges of Madison County, The (1995);Drama|Romance;NoTags
Nobody Loves Me (Keiner liebt mich) (1994);Comedy|Drama;NoTags
Muppet Treasure Island (1996);Adventure|Children|Comedy|Musical;muppets
Catwalk (1996);Documentary;NoTags
Braveheart (1995);Action|Drama|War;beautiful scenery|epic|historical|inspirational|Medieval|mel gibson|Oscar (Best Cinematography)|revenge|sword fight|Scotland
Taxi Driver (1976);Crime|Drama|Thriller;assassination
Rumble in the Bronx (Hont faan kui) (1995);Action|Adventure|Comedy|Crime;NoTags
Before and After (1996);Drama|Mystery;NoTags
Anne Frank Remembered (1995);Documentary;Holocaust
Young Poisoner's Handbook, The (1995);Crime|Drama;NoTags
If Lucy Fell (1996);Comedy|Romance;NoTags
Steal Big, Steal Little (1995);Comedy;NoTags
Boys of St. Vincent, The (1992);Drama;NoTags
Boomerang (1992);Comedy|Romance;dating
Chungking Express (Chung Hing sam lam) (1994);Drama|Mystery|Romance;NoTags
Flirting With Disaster (1996);Comedy;NoTags
NeverEnding Story III, The (1994);Adventure|Children|Fantasy;NoTags
Jupiter's Wife (1994);Documentary;NoTags
Pie in the Sky (1996);Comedy|Romance;NoTags
Jade (1995);Thriller;NoTags
Down Periscope (1996);Comedy;NoTags
Man of the Year (1995);Documentary;NoTags
Up Close and Personal (1996);Drama|Romance;journalism
Birdcage, The (1996);Comedy;NoTags
Brothers McMullen, The (1995);Comedy;NoTags
Bad Boys (1995);Action|Comedy|Crime|Drama|Thriller;NoTags
Amazing Panda Adventure, The (1995);Adventure|Children;NoTags
Basketball Diaries, The (1995);Drama;addiction|heroin|Leonardo DiCaprio|Mark Wahlberg
Awfully Big Adventure, An (1995);Drama;NoTags
Amateur (1994);Crime|Drama|Thriller;NoTags
Apollo 13 (1995);Adventure|Drama|IMAX;moon|NASA|space
Rob Roy (1995);Action|Drama|Romance|War;NoTags
Addiction, The (1995);Drama|Horror;NoTags
Batman Forever (1995);Action|Adventure|Comedy|Crime;superhero|superhero
Beauty of the Day (Belle de jour) (1967);Drama;NoTags
Beyond Rangoon (1995);Adventure|Drama|War;NoTags
Blue in the Face (1995);Comedy|Drama;NoTags
Canadian Bacon (1995);Comedy|War;NoTags
Casper (1995);Adventure|Children;NoTags
Clockers (1995);Crime|Drama|Mystery;NoTags
Congo (1995);Action|Adventure|Mystery|Sci-Fi;Michael Crichton
Crimson Tide (1995);Drama|Thriller|War;submarine
Crumb (1994);Documentary;In Netflix queue
Desperado (1995);Action|Romance|Western;NoTags
Devil in a Blue Dress (1995);Crime|Film-Noir|Mystery|Thriller;NoTags
Die Hard: With a Vengeance (1995);Action|Crime|Thriller;NoTags
Doom Generation, The (1995);Comedy|Crime|Drama;NoTags
First Knight (1995);Action|Drama|Romance;NoTags
Free Willy 2: The Adventure Home (1995);Adventure|Children|Drama;NoTags
Hackers (1995);Action|Adventure|Crime|Thriller;NoTags
Jeffrey (1995);Comedy|Drama;NoTags
Johnny Mnemonic (1995);Action|Sci-Fi|Thriller;NoTags
Judge Dredd (1995);Action|Crime|Sci-Fi;NoTags
Jury Duty (1995);Comedy;NoTags
Kids (1995);Drama;controversial|New York City|Nudity (Full Frontal)
Living in Oblivion (1995);Comedy;NoTags
Lord of Illusions (1995);Horror;NoTags
Love & Human Remains (1993);Comedy|Drama;NoTags
Mad Love (1995);Drama|Romance;NoTags
Mallrats (1995);Comedy|Romance;NoTags
Mighty Morphin Power Rangers: The Movie (1995);Action|Children;NoTags
Mute Witness (1994);Comedy|Horror|Thriller;NoTags
Nadja (1994);Drama;NoTags
Net, The (1995);Action|Crime|Thriller;computers
Nine Months (1995);Comedy|Romance;NoTags
Party Girl (1995);Comedy;NoTags
Prophecy, The (1995);Fantasy|Horror|Mystery;NoTags
Reckless (1995);Comedy|Fantasy;NoTags
Safe (1995);Thriller;NoTags
Scarlet Letter, The (1995);Drama|Romance;NoTags
Showgirls (1995);Drama;NoTags
Smoke (1995);Comedy|Drama;NoTags
Something to Talk About (1995);Comedy|Drama|Romance;NoTags
Species (1995);Horror|Sci-Fi;NoTags
Strange Days (1995);Action|Crime|Drama|Mystery|Sci-Fi|Thriller;NoTags
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);Drama|Musical|Romance;Made me cry
Three Wishes (1995);Drama|Fantasy;NoTags
Total Eclipse (1995);Drama|Romance;NoTags
To Wong Foo, Thanks for Everything! Julie Newmar (1995);Comedy;NoTags
Under Siege 2: Dark Territory (1995);Action;NoTags
Unstrung Heroes (1995);Comedy|Drama;NoTags
Unzipped (1995);Documentary;NoTags
Walk in the Clouds, A (1995);Drama|Romance;NoTags
Waterworld (1995);Action|Adventure|Sci-Fi;NoTags
White Man's Burden (1995);Drama;NoTags
Wild Bill (1995);Western;NoTags
Browning Version, The (1994);Drama;NoTags
Bushwhacked (1995);Adventure|Comedy|Crime|Mystery;NoTags
Burnt by the Sun (Utomlyonnye solntsem) (1994);Drama;NoTags
Before the Rain (Pred dozhdot) (1994);Drama|War;NoTags
Before Sunrise (1995);Drama|Romance;generation X
Billy Madison (1995);Comedy;school|Adam Sandler|stop looking at me swan
Babysitter, The (1995);Drama|Thriller;NoTags
Boys on the Side (1995);Comedy|Drama;NoTags
Cure, The (1995);Drama;NoTags
Castle Freak (1995);Horror;NoTags
Circle of Friends (1995);Drama|Romance;Ireland
Clerks (1994);Comedy;cynical|hilarious|independent film|quirky|witty|generation X
Don Juan DeMarco (1995);Comedy|Drama|Romance;mental illness|psychology
Disclosure (1994);Drama|Thriller;NoTags
Drop Zone (1994);Action|Thriller;NoTags
Destiny Turns on the Radio (1995);Comedy;NoTags
Death and the Maiden (1994);Drama|Thriller;NoTags
Dolores Claiborne (1995);Drama|Thriller;Stephen King
Dumb & Dumber (Dumb and Dumber) (1994);Adventure|Comedy;NoTags
Eat Drink Man Woman (Yin shi nan nu) (1994);Comedy|Drama|Romance;In Netflix queue
Exotica (1994);Drama;NoTags
Exit to Eden (1994);Comedy;NoTags
Ed Wood (1994);Comedy|Drama;movie business
French Kiss (1995);Action|Comedy|Romance;NoTags
Forget Paris (1995);Comedy|Romance;basketball|France|infertility
Far From Home: The Adventures of Yellow Dog (1995);Adventure|Children;NoTags
Goofy Movie, A (1995);Animation|Children|Comedy|Romance;NoTags
Hideaway (1995);Thriller;NoTags
Fluke (1995);Children|Drama;NoTags
Farinelli: il castrato (1994);Drama|Musical;NoTags
Gordy (1995);Children|Comedy|Fantasy;NoTags
Hoop Dreams (1994);Documentary;basketball
Heavenly Creatures (1994);Crime|Drama;Australia
Houseguest (1994);Comedy;bad|Sinbad
Immortal Beloved (1994);Drama|Romance;Beethoven
Heavyweights (Heavy Weights) (1995);Children|Comedy;NoTags
Hunted, The (1995);Action;NoTags
I.Q. (1994);Comedy|Romance;Einstein
Interview with the Vampire: The Vampire Chronicles (1994);Drama|Horror;NoTags
Jefferson in Paris (1995);Drama;NoTags
Jerky Boys, The (1995);Comedy;NoTags
Junior (1994);Comedy|Sci-Fi;NoTags
Just Cause (1995);Mystery|Thriller;court
Kid in King Arthur's Court, A (1995);Adventure|Children|Comedy|Fantasy|Romance;NoTags
Kiss of Death (1995);Crime|Drama|Thriller;NoTags
Star Wars: Episode IV - A New Hope (1977);Action|Adventure|Sci-Fi;classic|space action|action|sci-fi|EPIC|great soundtrack|classic sci-fi|engrossing adventure|EPIC|classic|Nerd|classic sci-fi|space action|space epic|oldie but goodie|sci-fi|Star Wars|ROBOTS AND ANDROIDS|space|classic sci-fi|sci-fi|space adventure|Star Wars|darth vader|luke skywalker|space opera
Little Women (1994);Drama;Louisa May Alcott
Little Princess, A (1995);Children|Drama;England|Girl Power|India
Ladybird Ladybird (1994);Drama;NoTags
Like Water for Chocolate (Como agua para chocolate) (1992);Drama|Fantasy|Romance;NoTags
Legends of the Fall (1994);Drama|Romance|War|Western;NoTags
Major Payne (1995);Comedy;NoTags
My Crazy Life (Mi vida loca) (1993);Drama;NoTags
Love Affair (1994);Drama|Romance;NoTags
Losing Isaiah (1995);Drama;NoTags
Madness of King George, The (1994);Comedy|Drama;England|mental illness
Mary Shelley's Frankenstein (Frankenstein) (1994);Drama|Horror|Sci-Fi;gothic
Man of the House (1995);Comedy;NoTags
Mixed Nuts (1994);Comedy;NoTags
Milk Money (1994);Comedy|Romance;NoTags
Miracle on 34th Street (1994);Drama;Christmas
Miami Rhapsody (1995);Comedy;NoTags
My Family (1995);Drama;In Netflix queue
Murder in the First (1995);Drama|Thriller;prison
Nobody's Fool (1994);Comedy|Drama|Romance;NoTags
Nell (1994);Drama;disability|twins
New Jersey Drive (1995);Crime|Drama;NoTags
New York Cop (Nyû Yôku no koppu) (1993);Action|Crime;NoTags
Beyond Bedlam (1993);Drama|Horror;NoTags
Nina Takes a Lover (1994);Comedy|Romance;NoTags
